(Intercept) as.factor(phenotypes$Age.x)1 as.factor(phenotypes$Age.x)2 as.factor(phenotypes$Age.x)3 as.factor(phenotypes$Age.x)4 as.factor(phenotypes$Age.x)5 as.factor(phenotypes$Age.x)6 as.factor(phenotypes$Age.x)7 as.factor(phenotypes$Age.x)8 as.factor(phenotypes$Age.x)9 as.factor(phenotypes$Age.x)10 as.factor(phenotypes$Age.y)3 as.factor(phenotypes$Age.y)4 as.factor(phenotypes$Age.y)5 as.factor(phenotypes$Age.y)6 as.factor(phenotypes$Age.y)7 as.factor(phenotypes$Age.y)8 as.factor(phenotypes$Age.y)9 as.factor(phenotypes$Gen.Line)RAMB as.factor(phenotypes$Gen.Line)UNKN as.factor(phenotypes$Management.Group)1 as.factor(phenotypes$Management.Group)2 as.factor(phenotypes$Lambs.Birthed.x)2 as.factor(phenotypes$Lambs.Birthed.x)3 as.factor(phenotypes$Lambs.Birthed.x)4 as.factor(phenotypes$Lambs.Birthed.y)2 as.factor(phenotypes$Lambs.Birthed.y)3
0.2189758 -0.780866 -0.4810735 -0.7841409 -0.4981314 -0.6283861 -0.5847527 -0.4336045 -0.4984466 -0.5888841 -1.701207 0.103206 0.1541505 0.08327751 -0.9471048 -1.09104 -0.2845319 0.5006582 0.3199832 -0.2578044 1.288708 0.1387009 0.1935533 0.3541537 -0.3707377 -0.03141572 0.4824116
0.2343268 -0.4905648 -0.3336786 -0.5671597 -0.6674445 -0.5309489 -0.7845583 -0.3332093 -0.745173 -0.4628363 -0.7628087 0.1369386 -0.1735931 -0.08748556 -1.02644 -0.7149714 0.6281676 1.048448 0.3889878 -0.05446302 1.236414 0.2457053 0.157347 0.4999136 0.7038244 -0.06520912 0.1095947
0.2114529 0.4425506 -0.3533865 -0.5967614 -0.5434229 -0.5233849 -0.8610699 -0.2447412 -0.437763 -0.7954382 -0.5550299 0.1056718 -0.03147244 -0.1792278 -0.9485991 -0.9558783 -0.6139776 1.412967 0.3228389 -0.03657345 1.100779 0.3023183 0.117046 0.4136156 0.207324 0.07179936 -0.2745265
0.1520211 -0.06737215 -0.3180277 -0.4186732 -0.3469347 -0.3303287 -0.6153825 -0.1480569 -0.2539419 -0.6703358 -0.8896545 0.0187534 -0.1972927 -0.2665756 -0.8246218 -0.3699497 0.109518 -0.53601 0.2745236 -0.01884031 0.8621772 0.3674468 0.1719646 0.1109793 -0.1182523 -0.03724331 -0.09757459
0.2130196 -0.3787191 -0.35953 -0.3378217 -0.3379894 -0.3811042 -0.5298371 -0.2071 -0.3275458 -0.6484398 -1.963976 0.1330288 -0.1805848 -0.2117233 -0.9694469 -0.09921741 -0.5958336 1.487507 0.3690671 0.01355707 0.7921071 0.3499583 0.08016048 0.2897659 -0.05094743 0.07771987 0.2546624
0.2832572 -0.06853746 -0.190532 -0.5591358 -0.3330529 -0.4604849 -0.4247079 -0.1705249 -0.6832436 -0.515396 -1.919631 0.05127528 -0.317674 -0.1800552 -0.8449826 -0.5473212 -0.4080645 -0.1210142 0.3355263 -0.03550526 1.272691 0.4785289 0.1338946 0.4445865 0.01179085 0.06067637 0.8800987
0.3393858 -0.5143148 -0.2505931 -0.3861079 -0.4661205 -0.358739 -0.3526444 -0.1623822 -0.4617109 -0.521464 -1.582038 0.1683776 -0.4893063 -0.2379997 -1.142526 -0.2903052 -0.5942243 0.5211613 0.2172855 -0.1669095 1.661834 0.6249074 0.2552659 0.75287 0.3993944 -0.006349764 0.7520547
0.3753671 0.2370078 -0.3001897 -0.4620875 -0.3912288 -0.3655758 -0.5706431 -0.1075539 -0.1127856 -0.7362295 -0.8287827 0.2818678 -0.3928158 -0.3508561 -1.611433 -1.404717 -1.987402 -0.3426203 0.3740507 -0.1228551 1.967236 0.6211041 0.08319605 0.4609972 0.1844342 0.0324938 0.5623766
0.3802568 -0.3055911 -0.4036579 -0.68088 -0.5246044 -0.5056806 -0.5962116 -0.2576074 -0.4786704 -1.04871 -0.3321274 0.2488288 -0.5340932 -0.3205029 -1.476085 -1.749592 -1.657462 -0.2082092 0.4310103 -0.08206994 1.716325 0.7584643 0.1997761 0.3664102 -0.09313821 -0.0856517 0.1641915
0.3744873 -0.8112972 -0.4598632 -0.6124112 -0.5301568 -0.3702272 -0.4998579 -0.2844181 -0.4512621 -0.6369705 -0.8225013 0.264316 -0.5698837 -0.4093123 -1.442632 -1.270851 -1.400173 1.619311 0.4456653 0.1261798 1.744745 0.8994558 0.1673313 0.3096594 0.5673951 0.05385178 -0.474611
0.330601 -0.4066739 -0.2581537 -0.5537832 -0.5858244 -0.3603211 -0.4363465 -0.1726117 -0.1781978 -0.6918477 -1.045908 0.1823857 -0.6941908 -0.439892 -1.853565 -1.681221 0.01432356 -0.3151099 0.4922611 0.1526173 2.161452 0.8516763 0.1943593 0.3883292 0.1123828 0.09705196 0.3993849
0.3141517 0.06746443 -0.5011743 -0.5643074 -0.4552704 -0.4061989 -0.6015272 -0.2566408 -0.4459935 -0.878301 -0.1081926 0.3259324 -0.7260881 -0.6482487 -1.663384 -1.110278 -1.157832 1.819072 0.4530239 0.1500388 1.921669 0.9824325 0.1711353 0.580619 0.361522 0.1510591 0.4840033
0.3534766 -0.5766579 -0.1776824 -0.3528978 -0.3091685 -0.5161063 -0.6293765 -0.2630287 -0.304965 -0.6837129 -0.7874886 0.1902846 -0.9116429 -0.9465429 -1.85793 -1.440235 0.08966793 0.1771572 0.2259909 0.2422253 2.274092 1.230514 0.2539938 0.3557427 -0.3290534 0.02872709 0.4821085
0.2565974 -0.7048178 -0.08177278 -0.3213471 -0.2274052 -0.2421733 -0.255904 0.05593589 -0.228706 -0.3526294 0.1072291 0.07111804 -1.105028 -1.043285 -1.942761 -1.611296 -0.08487499 -0.1244672 0.2916496 0.2684631 2.066111 1.334408 0.08312504 0.4667133 0.5945928 0.01043372 0.6750111
0.4568706 -0.6437493 -0.3838971 -0.3688023 -0.3089323 -0.3982736 -0.545825 -0.0424009 -0.4695709 -0.5835693 -0.8779468 0.1072473 -1.153441 -1.016737 -1.489272 -0.981226 -0.3625185 0.03990804 0.5141073 0.07640696 1.754574 1.383202 0.1125836 0.3395294 1.09053 -0.09270798 -0.0327286
0.4073617 0.4604189 -0.02489713 -0.3333806 -0.1190113 -0.2558171 -0.3496432 0.0730954 -0.1657273 -0.6316681 -1.045267 0.0655907 -1.338226 -1.345521 -1.743144 -1.3253 -1.704221 -1.495463 0.2965592 0.01644498 2.000478 1.507442 0.1676697 0.4463009 0.1587552 0.05454993 0.3005363
0.5096726 -0.1450319 -0.2317738 -0.4686243 -0.2276834 -0.2599281 -0.3874508 0.07751261 -0.3533385 -0.4928974 -1.968445 0.2874298 -1.171319 -1.352471 -1.706925 -1.792654 -1.01118 0.5256921 0.3132638 -0.1945911 1.889505 1.525034 0.08389928 0.6526581 1.36026 -0.008448306 -0.05511722
0.4775965 -1.203462 -0.1678486 -0.2732818 -0.177156 -0.3243011 -0.566098 -0.07078693 -0.5168899 -0.5237415 -0.0963734 0.2175092 -1.164257 -1.135522 -1.375139 -1.056432 0.5302506 0.4394817 0.2849077 -0.01550105 1.600584 1.430089 0.1300582 0.5061598 0.4507288 0.135858 -0.5809258
0.4573982 -0.4982512 -0.2778207 -0.4073669 -0.3512917 -0.2711856 -0.4044993 0.003841872 -0.056722 -0.339548 -0.6973076 0.2378317 -1.207537 -1.131476 -1.626798 -1.830595 -0.3414333 1.473631 0.2627485 -0.2284577 2.003773 1.558705 0.09132281 0.6537734 0.0658265 0.04395565 -0.06114181
0.33668 -0.08402717 -0.3095809 -0.3885786 -0.1606246 -0.1438147 -0.382833 -0.04132549 -0.4751535 -0.2668754 -0.3138386 0.2584454 -1.2597 -1.172289 -1.879007 -2.120919 -0.686736 0.1198069 0.3085635 -0.01932093 2.255277 1.499686 0.1105603 0.5151464 0.1592715 0.165182 -0.1937215
0.4835431 -0.2624286 -0.3964834 -0.5198248 -0.4949623 -0.2498731 -0.5735736 -0.0574336 -0.5338728 -0.5605793 -0.8990765 0.3717906 -1.143008 -1.266027 -1.905944 -2.464617 -2.209253 -0.6890156 0.3948455 0.1756873 2.130929 1.427695 0.2531345 0.6325681 0.3541538 0.03819976 0.3873322
